Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M1,Mulusuku,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3f7GFEXbaK,2015-09-07T00:00:00Z,1,,71a,1,,23,1,1,,,FciuYbpbYa7,0.05,,,1.0,L0300502m1,,
M2,Samba,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",oimuabaAoj4,2015-10-13T00:00:00Z,1,,54,1,,54,1,1,,,YCJFyzPxn5,0.4,,,1.19,L0300404M2,,
M3,Kisilimuko,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",QybMet9zZh8,2016-01-06T00:00:00Z,1,,11,1,,11,3,1,,,nTfwMxz4ZD5,0.1,,,1.0,L0600101M3,,
M5,Kagwejeka,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",UBoKCmEGFXB,2016-04-05T00:00:00Z,1,,31,1,,23,0,2,2,,,1.6,,,,,,
M3,Mumatongo,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",CW2n61MumoA,2016-04-03T00:00:00Z,1,,23,1,,23,0,1,,,qUaqH4MuWtA,0.234,,,0.144,L0401102M3,,
M4,Yombe Anvu 1,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,1,,11,1,,22,0,1,,,iiWbPHyZeGB,0.13,3.0,1,0.267,L0100302M4,,
M2,Mulkizi,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",9iKLxLjVu77,2016-04-10T00:00:00Z,1,,31,1,,22,0,2,1,,,2.0,,,,L0401101m2,,
M1,Mukika,UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",4MTsyUHiaX4,2016-04-14T00:00:00Z,1,,31,1,,31,0,2,1,,,5.0,,,,L0400701m1,,
M2,Bunatimbi,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",c8oh3AnL1P,2015-11-21T00:00:00Z,1,,304,1,,304,2,1,,,E9ifQraBLD4,1.5,,,0.29,L0201402M2,,
M1,Namako,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",D3k4R1hEUdA,2016-01-06T00:00:00Z,1,,31,1,,31,0,1,,,jhfT5M9H8w9,0.02,,,0.07,L0201303m1,,
M3,Manafwa garden,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",hiJdT15von9,2015-11-20T00:00:00Z,1,,31,1,,60,0,1,,,ptvwxPhNpj5,0.1,,,0.06,L0200302M3,,
M1,Waka,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GuUwLgiijo2,2015-10-16T00:00:00Z,1,,54,1,,71a,1,1,,,wdKCFEt2J3B,250.0,,,1.12,L0200603m1,,
M1,Emanju,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",43ozar7mLV6,2016-01-27T00:00:00Z,1,,22,1,,11,0,1,,,MnPDCvDUdx,0.8,,,0.26,L0300801M1,,
M3,Vosto,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",J4NQk5mWMXA,2016-02-07T00:00:00Z,1,,42,4,,,1,1,,,mfmSeFQVbc2,0.01,,,0.6,L0700503M3,,
M3,Kiiti,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",5a2WfRTPWS2,2016-01-13T00:00:00Z,1,,22,1,,21,0,1,,,n2gHd2qpf85,0.08,,,0.5,L0600303M3,,
M2,Esikinji,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",QT4VeJxXHv4,2015-11-20T00:00:00Z,1,,43,1,,11,1,1,,,yPSLppiSz65,0.1,,,0.31,L0201103M2,,
M2,Mukibira 2,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3eWkuw2PPtA,2015-10-09T00:00:00Z,1,,43,1,,21,0,1,,,psn1UAQ1C57,1.0,,,0.32,L0300602M2,,
