Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop ID,Is Processed,Is Byproduct,ag09_02_1,ag09_03,ag09_03_other,ag09_03_by,ag09_03_by_other,ag09_03_product_name,ag09_04_1,ag09_04_2,ag09_07,ag09_07_2,ag09_05,ag09_06_1,ag09_06_2,ag09_08,ag09_vs_8a,ag09_vs_8b_1,ag09_vs_8b_2,ag09_10,ag09_11
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",n4TwADF35,2016-04-13T00:00:00Z,Sorghum,true,,13,1,,,,,100.0,1,100.0,1,2,,,,2,,,1,1000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",c8oh3AnL1P,2015-11-21T00:00:00Z,Maize,true,,11,1,,,,,4.0,1,6.0,1,2,,,,2,,,1,1200.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",UBoKCmEGFXB,2016-04-05T00:00:00Z,Sorghum,true,,13,1,,,,,100.0,1,100.0,1,2,,,,2,,,1,10000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",52MH5CafZg9,2016-03-31T00:00:00Z,Sorghum,true,,13,1,,,,,30.0,1,30.0,1,2,,,,2,,,1,4800.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",5xza3zKCC65,2015-11-21T00:00:00Z,Maize,true,,11,1,,,,,25.0,1,30.0,1,2,,,,2,,,1,8000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",SqGfB47Y5q3,2016-07-31T00:00:00Z,Cassava,true,,21,1,,,,,200.0,1,200.0,1,2,,,,2,,,1,20000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",25LYWDpsci5,2016-02-08T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,50.0,1,2,,,,2,,,1,5000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",1Mcd53U8Qb4,2015-10-22T00:00:00Z,Maize,true,,11,1,,,,,28.0,1,30.0,1,2,,,,2,,,1,3000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Te4C6DJXQq6,2016-07-24T00:00:00Z,Cassava,true,,21,1,,,,,720.0,1,720.0,1,2,,,,2,,,1,72000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",zVWFb5eAbV7,2016-02-05T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,50.0,1,2,,,,2,,,1,5000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",wJPLc9G7D59,2016-02-03T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,20.0,1,2,,,,2,,,1,3000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",bT98NEoYxz6,2016-01-16T00:00:00Z,Maize,true,,11,1,,,,,5.0,1,5.0,1,2,,,,2,,,1,500.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",vbnCBWJgn15,2016-07-18T00:00:00Z,Sorghum,true,,13,1,,,,,120.0,1,120.0,1,2,,,,2,,,1,24000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",2Zy882qHx74,2016-01-27T00:00:00Z,Maize,true,,11,1,,,,,960.0,1,960.0,1,2,,,,2,,,1,40000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",rR4rphkhyt6,2016-07-14T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,30.0,1,2,,,,2,,,1,6000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",iLvTEBAQTN6,2016-04-08T00:00:00Z,Maize,true,,11,1,,,,,150.0,1,150.0,1,2,,,,2,,,1,22500.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",jsuqiyHhZp3,2016-02-04T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,20.0,1,2,,,,2,,,1,2000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",UKqsMYWu6S2,2016-04-06T00:00:00Z,Sorghum,true,,13,1,,,,,50.0,1,50.0,1,2,,,,2,,,2,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",hyWdWQ552X7,2016-07-26T00:00:00Z,Cassava,true,,21,1,,,,,140.0,1,140.0,1,2,,,,2,,,1,14000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",mUQGMG1UT55,2015-08-10T00:00:00Z,Maize,true,,11,1,,,,,42.0,1,50.0,1,1,8.0,1,2400.0,2,,,1,7500.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",EQUQxBxxA28,2016-07-25T00:00:00Z,Cassava,true,,21,1,,,,,140.0,1,140.0,1,2,,,,2,,,1,14000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",CR6uc2DJjF2,2016-07-23T00:00:00Z,Maize,true,,11,1,,,,,100.0,1,100.0,1,2,,,,2,,,1,20000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",Yz9QZdfbFV,2015-11-24T00:00:00Z,Maize,true,,11,1,,,,,3.0,1,5.0,1,2,,,,2,,,1,900.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",Uvc1cgf5XM9,2016-02-05T00:00:00Z,Sorghum,true,,13,1,,,,,10.0,1,10.0,1,2,,,,2,,,1,5000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",fYfZbzp5Nv8,2016-01-07T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,50.0,1,2,,,,2,,,1,7500.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",WKmRQnKoHA8,2016-02-01T00:00:00Z,Maize,true,,11,1,,,,,40.0,1,50.0,1,2,,,,1,10.0,1,1,4500.0
