Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",sohyYFGAMr9,dXB7UR6Pmv2,Ei6Xo6n7oU4,2000-01-01 10:33:00 UTC,2016-08-17,Ei6Xo6n7oU4,2016-08-17,Ei6Xo6n7oU4,2016-08-17T00:00:00Z,1,2015,1473319083087.jpg,1,9,,2000-01-01 11:51:00 UTC,paper
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",ah2mXHfB7w4,7tDN2cppFE7,p32HA2B1Fw3,2000-01-01 10:18:00 UTC,2016-08-09,Ei6Xo6n7oU4,2016-08-09,Ei6Xo6n7oU4,2016-08-09T00:00:00Z,1,2015,1474026087993.jpg,1,9,,2000-01-01 11:30:00 UTC,paper
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",z7c7QHaTTe7,t84Dhby64ZB,,2000-01-01 09:45:00 UTC,2016-05-27,i3ZgvUSffF,2016-05-27,i3ZgvUSffF,2016-05-27T00:00:00Z,1,4,1465303088294.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,27,"L06",jQRmJu3n453,L51ifHkHoC8,,2000-01-01 07:56:00 UTC,2015-10-02,i3ZgvUSffF,2015-10-02,i3ZgvUSffF,2015-10-02T00:00:00Z,1,3,1463289674128.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",am7bPMj2uA,CRo8n9Zzck3,,2000-01-01 09:15:00 UTC,2016-04-29,i3ZgvUSffF,2016-04-29,73SJ6W4Wnt9,2016-04-29T00:00:00Z,1,4,1463417749094.jpg,1,9,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,05,54,"L03",rP7DxqhNrW3,FfVyevQxn37,,2000-01-01 09:45:00 UTC,2016-07-19,i3ZgvUSffF,2016-07-19,i3ZgvUSffF,2016-07-19T00:00:00Z,1,4,1470397290596.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,02,25,"L01",wy7axJB9t4A,ehCeaoNght4,,2000-01-01 10:10:00 UTC,2016-01-14,i3ZgvUSffF,2016-01-14,73SJ6W4Wnt9,2016-01-14T00:00:00Z,1,3,1463404475260.jpg,1,9,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,05,54,"L03",bsDhjVrvZ8B,hhXNFfK6584,,2000-01-01 11:25:00 UTC,2016-07-12,i3ZgvUSffF,2016-07-12,i3ZgvUSffF,2016-07-12T00:00:00Z,1,4,1470465004079.jpg,1,9,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",C3b2zHKsNU3,vCEnmncWje,Ei6Xo6n7oU4,2000-01-01 10:17:00 UTC,2016-08-24,Ei6Xo6n7oU4,2016-08-24,Ei6Xo6n7oU4,2016-08-24T00:00:00Z,1,2015,1473479453944.jpg,2,,,2000-01-01 11:14:00 UTC,paper
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,27,"L06",XZQvXo5qT34,BoLBtwr7XtA,,2000-01-01 12:55:00 UTC,2015-10-10,i3ZgvUSffF,2015-10-10,i3ZgvUSffF,2015-10-10T00:00:00Z,1,3,1463124080132.jpg,2,,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,27,"L06",nny1kAHD1A6,oCNRFbAJG17,,2000-01-01 09:36:00 UTC,2015-10-08,i3ZgvUSffF,2015-10-08,i3ZgvUSffF,2015-10-08T00:00:00Z,1,3,1463382690771.jpg,1,9,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,05,54,"L03",1aHi48GS6A5,dQUKbm2ECd6,,2000-01-01 10:15:00 UTC,2016-07-29,i3ZgvUSffF,2016-07-29,i3ZgvUSffF,2016-07-01T00:00:00Z,1,4,1470380099821.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",mhGSC5qMs53,QTbSFqD5SK6,,2000-01-01 10:05:00 UTC,2016-03-02,i3ZgvUSffF,2016-03-02,i3ZgvUSffF,2016-03-02T00:00:00Z,1,4,1463287351960.jpg,2,,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",MScBRdzkSi4,1YGcLmgMbg6,p32HA2B1Fw3,2000-01-01 12:43:00 UTC,2016-08-17,Ei6Xo6n7oU4,2016-08-17,Ei6Xo6n7oU4,2016-08-17T00:00:00Z,1,2015,1473438637242.jpg,1,9,,2000-01-01 13:30:00 UTC,paper
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",tuxCwfbZQN9,purTZyeCRV2,p32HA2B1Fw3,2000-01-01 09:32:00 UTC,2016-08-16,Ei6Xo6n7oU4,2016-08-16,Ei6Xo6n7oU4,2016-08-16T00:00:00Z,1,2015,1473399188983.jpg,1,9,,2000-01-01 09:45:00 UTC,paper
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,28,"L06",CGeuGzTDPV5,jcCiZkkwRuA,,2000-01-01 09:15:00 UTC,2015-10-01,i3ZgvUSffF,2015-10-01,i3ZgvUSffF,2015-10-01T00:00:00Z,1,3,1466143393452.jpg,2,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",4aupp5Gqjv6,VmRoYe4Z5h4,,2000-01-01 11:47:00 UTC,2016-03-05,73SJ6W4Wnt9,2016-03-05,73SJ6W4Wnt9,2016-03-05T00:00:00Z,1,4,1463068007162.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,02,23,"L01",VM1oxfq9wgB,6xjwzF5Gtd9,,2000-01-01 10:04:00 UTC,2015-12-14,i3ZgvUSffF,2015-12-14,73SJ6W4Wnt9,2015-12-14T00:00:00Z,1,3,1463384987482.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,03,32,"L04",5AjH6QaGU24,WYQ98EzMVD,,2000-01-01 10:52:00 UTC,2015-02-15,i3ZgvUSffF,2016-02-15,73SJ6W4Wnt9,2016-02-15T00:00:00Z,1,3,1463316817318.jpg,1,9,,,
