"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","source_id","source_name","sourceid","ag12a_02_1","ag12a_02_2","ag12a_02_3","ag12a_02_4","ag12a_02_5","ag12a_02_6","ag12a_03","ag12a_04","ag12a_05"
"92","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wTASpGRGc38","2015-05-21T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"93","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","K7cFANftUD3","2014-09-07T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,2,2,2,2,NA,2,2,NA
"94","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","UDYnaavH8U3","2015-02-17T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,1,NA,1,2,NA
"95","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","qaB9PRByhQ7","2014-09-27T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,NA,1,NA,1,2,NA
"96","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","go6Ch5Km3k7","2014-12-16T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)","",1,1,1,2,1,NA,1,2,NA
"97","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","vyxUdnM5dv5","2014-12-15T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)","",1,1,1,2,1,NA,1,2,NA
"98","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","3262VdP66d2","2014-09-14T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,NA,NA,NA,NA,NA,1,2,NA
"99","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","Ny58V5eghz7","2014-12-29T00:00:00Z","2","NGO","",1,1,1,2,2,NA,1,2,NA
"100","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","UUj4sWMqYC3","2014-12-29T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",2,2,2,2,1,NA,1,2,NA
"101","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","fyW9nSiREpA","2015-03-29T00:00:00Z","2","NGO","",1,1,1,2,2,NA,1,2,NA
"102","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","ArjKWQXjiQ2","2015-01-02T00:00:00Z","2","NGO","",1,1,1,NA,1,NA,1,2,NA
"103","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","dVULAjf4W89","2015-03-10T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,NA,1,NA,1,2,NA
"104","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-12-17T00:00:00Z","2","NGO","",1,1,1,2,1,NA,1,2,NA
"105","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","ArjKWQXjiQ2","2015-01-02T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,NA,1,NA,1,2,NA
"106","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","fkisAfkhBS2","2014-12-29T00:00:00Z","2","NGO","",1,1,1,NA,1,NA,1,2,NA
"107","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","w5r45534D96","2014-09-27T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)","",1,1,1,2,2,NA,1,2,NA
"108","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-12T00:00:00Z","2","NGO","",1,1,1,2,2,NA,2,2,NA
"109","RWA","Wildlife Conservation Society",30.0187746264512,-2.28718495548197,"L07","sohyYFGAMr9","2016-08-17T00:00:00Z","3a","Community Based Farmer'S Organisations (Cbos)/Farmer Based Organisations (Fbos)",NA,1,2,2,2,2,2,1,2,NA
"110","RWA","Wildlife Conservation Society",29.3847853801739,-1.80927231441535,"L04","jHTSofjuPJ7","2016-01-18T00:00:00Z","1","MINISTRY OF AGRICULTURE",NA,1,2,2,2,2,2,1,2,NA
"111","RWA","Wildlife Conservation Society",29.4347584689003,-2.57578970240643,"L01","aDnodjimek6","2016-12-09T00:00:00Z","3","COOPERATIVE",NA,1,NA,NA,NA,NA,NA,1,2,NA
"112","RWA","Wildlife Conservation Society",29.55086017135,-1.48050348714566,"L02","mhGSC5qMs53","2016-03-02T00:00:00Z","3","COOPERATIVE",NA,1,NA,NA,NA,NA,NA,1,2,NA
