Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",cTxbn5tVsdA,2016-02-05T00:00:00Z,10,CHICKENS,7,0,,2,,,1,2,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",6L8XQ2ivNNB,2016-02-01T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",CLcgNTsm4y7,2015-10-08T00:00:00Z,10,CHICKENS,6,0,,1,2,40000.0,1,5,0,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",PxqUsT3Kg39,2016-02-05T00:00:00Z,2,COWS,3,0,0,2,,,2,,,,2,,2,0,3,5
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",EQM92niTjw,2016-02-05T00:00:00Z,10,CHICKENS,8,0,,1,2,30000.0,1,2,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",vPv6VoT5Hx6,2015-09-11T00:00:00Z,10,CHICKENS,3,,,2,,,1,1,0,,2,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",qGGstvM2E46,2016-02-04T00:00:00Z,7,GOATS,10,,0,1,3,200000.0,1,1,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",akR9WC1ESX,2016-04-15T00:00:00Z,8,SHEEP,7,,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",VyrUWsmH5zA,2016-07-19T00:00:00Z,2,Cows,1,0,0,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",4Ltk7eBsFy2,2016-01-12T00:00:00Z,9,PIGS,,1,,2,,,2,,,,2,,,,,
