Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,119,"L03",nG6geyTvwq7,xQJfYXDoPv,,2000-01-01 12:00:00 UTC,2015-02-20,VXXtPYtHb53,2015-02-21,s8w1kT9jvY7,2015-09-05T00:00:00Z,1,3,1441546084824.jpg,2,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",c8oh3AnL1P,cdnVgfK5e76,,2000-01-01 12:30:00 UTC,2015-05-08,VXXtPYtHb53,2015-05-09,YFPdkT7Y2y8,2015-11-21T00:00:00Z,1,3,1448108326625.jpg,1,6,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",B77fdVMrcbB,yawBLWj94K8,,2000-01-01 13:10:00 UTC,2015-05-01,VXXtPYtHb53,2015-05-02,s8w1kT9jvY7,2015-10-19T00:00:00Z,1,3,1445257627248.jpg,1,9,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",8r9jJ38EDF2,2btR8f3V1B3,4TSs34S7YSA,2000-01-01 15:23:00 UTC,2016-06-07,expyhifP6U2,2016-06-08,4TSs34S7YSA,2016-07-17T00:00:00Z,1,2015,1468753933492.jpg,2,,,2000-01-01 16:18:00 UTC,paper
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,119,"L03",RnembMKrW72,1gUxZF8pcC5,,2000-01-01 12:00:00 UTC,2015-02-17,VXXtPYtHb53,2015-02-19,YFPdkT7Y2y8,2015-08-13T00:00:00Z,1,3,1439715621541.jpg,1,9,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,121,"L03",3eWkuw2PPtA,8FtFADEBNd6,,2000-01-01 12:30:00 UTC,2015-03-20,VXXtPYtHb53,2015-03-20,YFPdkT7Y2y8,2015-10-09T00:00:00Z,1,3,1444375194237.jpg,2,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",CR6uc2DJjF2,p8WzxrZHhE7,4TSs34S7YSA,2000-01-01 10:08:00 UTC,2016-05-31,expyhifP6U2,2016-06-02,4TSs34S7YSA,2016-07-23T00:00:00Z,1,2015,1469277975659.jpg,2,,,2000-01-01 13:51:00 UTC,paper
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,03,313,"L01",mSfzhnwYib5,6SHdnwBQ6uA,4TSs34S7YSA,2000-01-01 11:46:00 UTC,2016-06-11,4TSs34S7YSA,2016-07-12,4TSs34S7YSA,2016-07-12T00:00:00Z,1,2015,1468323052226.jpg,2,,,2000-01-01 12:43:00 UTC,paper
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,408,"L04",4MTsyUHiaX4,8JcgtgEwBT3,,2000-01-01 10:47:00 UTC,2016-03-10,VXXtPYtHb53,2016-03-12,s8w1kT9jvY7,2016-04-14T00:00:00Z,1,4,1460666229256.jpg,2,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",bT98NEoYxz6,CDHN9vFpm13,,2000-01-01 12:29:00 UTC,2015-09-22,VXXtPYtHb53,2015-09-22,YFPdkT7Y2y8,2016-01-16T00:00:00Z,1,3,1452953089836.jpg,1,10,,,
