Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Item code,Tool name,ag11_01,ag11_07
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",aC1Yp9Vbbb9,2014-12-16T00:00:00Z,1,HAND HOE,6,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",87qeDKg8sj5,2015-02-09T00:00:00Z,13b,SILOS,1,0
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",HJ9K9FonFCA,2014-08-17T00:00:00Z,13h,SICKLE (FOR COCOA HARVESTING),3,0
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",nLAqDVxLW42,2014-09-26T00:00:00Z,13,GERI CANS/DRUMS,10,0
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",gRQgL3UsPb6,2014-08-24T00:00:00Z,13h,SICKLE (FOR COCOA HARVESTING),1,0
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",WgmUQnWemm7,2014-08-24T00:00:00Z,13g,"""SOSO"" (USED TO DIG HOLES/PLUCK PLANTAINS/HARVEST YAMS)",4,0
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",NZwEq9cA5VB,2014-12-17T00:00:00Z,13e,CUTLASS,5,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",bnNcJ3bknL7,2015-02-17T00:00:00Z,1,HAND HOE,5,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",qy7poFPTo22,2015-02-12T00:00:00Z,1,HAND HOE,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",n3hCRp3nTfB,2015-03-10T00:00:00Z,13i,SICKLE (GRASS CUTTING/THRESHING),1,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",rvasPDxnwj3,2015-02-27T00:00:00Z,2,HAND-POWERED SPRAYER,3,0
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",R24vZdb6HQ7,2014-09-07T00:00:00Z,13e,CUTLASS,1,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",13sx7zZ45L7,2015-02-22T00:00:00Z,13f,AXE,3,0
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",ArjKWQXjiQ2,2015-01-02T00:00:00Z,13e,CUTLASS,1,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",bnNcJ3bknL7,2015-02-17T00:00:00Z,13d,STOREROOM,1,0
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",5rf37agRoT5,2014-08-29T00:00:00Z,1,HAND HOE,3,0
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",uF4YRcniT69,2015-04-15T00:00:00Z,13e,CUTLASS,3,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",ZsXLTqgEPA2,2015-04-27T00:00:00Z,12,FARM BUILDINGS,1,0
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",PXb5NT8y8n6,2015-02-18T00:00:00Z,13i,SICKLE (GRASS CUTTING/THRESHING),1,0
