"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Crop.type","Field.ID","Field.name","Crop.ID","Crop.name","ag6a_02","ag6a_05","ag6a_08_1","ag6a_08_2","ag6a_vs_09"
"44","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","fruit","M6","Pebramuanu 5","100","Okra",NA,NA,NA,NA,NA
"45","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MFMymqGXjf8","2014-12-16T00:00:00Z","permanent","M3","Gaveligaduli 3","47","Soyabeans",NA,NA,NA,NA,NA
"46","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","TVHKxGJD4T5","2014-09-12T00:00:00Z","permanent","M2","Ofaso 2","21","Cassava",NA,NA,NA,NA,NA
"47","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","KSchTBWs2p7","2015-02-22T00:00:00Z","fruit","M3","Forest reserve 2","11","Maize",NA,NA,NA,NA,NA
"48","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QYtwXPgNBa3","2015-04-15T00:00:00Z","fruit","M1","Anyeho","45","Coconut",NA,NA,NA,NA,NA
"49","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","K5Z7A224KK7","2014-09-20T00:00:00Z","permanent","M1","Yerewoho1","24","Yams",NA,NA,NA,NA,NA
"50","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","EmjTzkKPcK4","2015-02-09T00:00:00Z","permanent","M2","Nameyela 2","11","Maize",NA,NA,NA,NA,NA
"51","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","v5AnXEEYcG3","2014-09-03T00:00:00Z","permanent","M4","Kwekuoanum","21","Cassava",NA,NA,NA,NA,NA
"52","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","fruit","M4","Sodadem 2","45","Coconut",NA,NA,NA,NA,NA
"53","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","GDXUCUdQZB6","2014-09-25T00:00:00Z","permanent","M1","Efikyiri 1","24","Yams",NA,NA,NA,NA,NA
"54","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","LFwa12jnrL2","2015-05-27T00:00:00Z","fruit","M1","Ahazule 1","45","Coconut",NA,NA,NA,NA,NA
"55","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","EAdeyuGhu85","2015-02-17T00:00:00Z","fruit","M1","Samanipuu","15","Finger Millet",NA,NA,NA,NA,NA
"56","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MFMymqGXjf8","2014-12-16T00:00:00Z","permanent","M2","Gaveligaduli 2","43","Groundnut",NA,NA,NA,NA,NA
"57","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","permanent","M6","Enyoam 4","11","Maize",NA,NA,NA,NA,NA
"58","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QFh29fHsCvA","2015-04-28T00:00:00Z","fruit","M3","Malefoa 2","44","Palm Oil",500,1,2000,NA,8000
"59","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","GAwYHaSgWn8","2014-09-07T00:00:00Z","fruit","M1","Akwakye","44","Palm Oil",NA,NA,NA,NA,NA
"60","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","4DD1mGbS2b6","2015-05-15T00:00:00Z","fruit","M1","Rubber Junction 1","45","Coconut",300,2,12000,NA,1200
"61","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","permanent","M4","Sodadem 2","45","Coconut",10000,2,21000,NA,2940
"62","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","87qeDKg8sj5","2015-02-09T00:00:00Z","fruit","M1","Yiripuu","11","Maize",NA,NA,NA,NA,NA
"63","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","permanent","M3","Abrenkesi 2","21","Cassava",NA,NA,NA,NA,NA
"64","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z","fruit","M2","Banshama 2","11","Maize",NA,NA,NA,NA,NA
"65","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","XEA6aofdZo5","2015-03-29T00:00:00Z","fruit","M2","Ewolezo","45","Coconut",NA,NA,NA,NA,NA
