"","Field.ID","Field.name","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","ag2a_vs_2b1","ag2a_vs_2b1_other","ag2a_vs_2b2_1","ag2a_vs_2c","ag2a_vs_2c_other","ag2a_vs_2d1","ag2a_04","ag2a_07","ag2a_08","ag2a_08_other","gps_coords","ag3a_02_1","ag3a_02_2","ag3a_02_2_1","ag2a_09","ag2a_vs_08a","ag2a_vs_8b","ag2a_vs_8c"
"32","M3","Mile five 2","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z",1,NA,"57","1",NA,"57",8,2,"1","","",8.1,120,1,NA,"",NA,NA
"33","M1","Ginzoli 1","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","aC1Yp9Vbbb9","2014-12-16T00:00:00Z",1,NA,"11","4",NA,NA,5,1,"","","nnwLArptSe2",2,30,1,6.9446,"",NA,NA
"34","M4","Fallow","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","nLAqDVxLW42","2014-09-26T00:00:00Z",4,NA,NA,"4",NA,NA,10,2,"1","","",NA,30,1,NA,"",NA,NA
"35","M6","Nsuduaso 3","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z",1,NA,"71","1",NA,"71",0,2,"1","","",NA,30,1,NA,"",NA,NA
"36","M1","Maize","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","bnNcJ3bknL7","2015-02-17T00:00:00Z",1,NA,"11","4",NA,NA,5,1,"","","Qp3MaRAi1x4",NA,2,2,7.4,"Akoo 1kn",NA,NA
"37","M1","Sikaloleka","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","qy7poFPTo22","2015-02-12T00:00:00Z",1,NA,"43","4",NA,NA,2,1,"","","nZjaX8utYm2",NA,5,1,2,"David 1kn",NA,NA
"38","M2","Sorghum Farm","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z",1,NA,"13","4",NA,NA,2,1,"","","rtaKbF2S9y4",4,NA,NA,1.7,"Mbaah 2kn",NA,NA
"39","M3","Abnasah","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","R24vZdb6HQ7","2014-09-07T00:00:00Z",1,NA,"75","1",NA,"75",1,2,"2","","",0.4,NA,NA,NA,"",NA,NA
"40","M1","Apaaso","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","5rf37agRoT5","2014-08-29T00:00:00Z",1,NA,"44","1",NA,"44",2,2,"2","","",NA,10,1,NA,"",NA,NA
"41","M2","Karimenga 2","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","ZsXLTqgEPA2","2015-04-27T00:00:00Z",1,NA,"11","4",NA,NA,2,1,"","","559Qc5nzea",2.6,NA,NA,1.53,"Bugri 2kn",NA,NA
"42","M2","Krobokese","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z",1,NA,"45","1",NA,"45",9,2,"1","","",5,1,2,NA,"",NA,NA
"43","M2","Nsuobri 2","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","LeYiNjAjKi2","2014-09-09T00:00:00Z",1,NA,"21","1",NA,"21",6,1,"","","eoJaAR1yHz4",NA,10,1,7.6,"L636H1",NA,NA
"44","M1","Yam Farm","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","eaQik5x8C35","2014-09-27T00:00:00Z",1,NA,"24","1",NA,"24",8,1,"","","MBPVgeAB5J",1,NA,NA,4.6114,"515",NA,NA
"45","M1","Kong","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","PpJDFyaTPe6","2015-05-15T00:00:00Z",1,NA,"45","1",NA,"45",3,1,"","","g7yYeWpN6H8",1.62,NA,NA,13.5382,"",NA,NA
"46","M2","Tanoso","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","pKpxx6da5u6","2014-08-28T00:00:00Z",1,NA,"44","1",NA,"44",8,1,"","","vS48iPCCZC3",2.6,NA,NA,20.6675,"",NA,NA
"47","M2","Fulani","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","n3hCRp3nTfB","2015-03-10T00:00:00Z",1,NA,"11","4",NA,NA,4,1,"","","4Q3F2UPCjn5",1.6,NA,NA,4.2,"Alangre 2kn",NA,NA
