Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M1,Mgambalenga,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",2zFRVcySNg6,2014-08-13T00:00:00Z,1,,11,1,,26,0,1,,,V6kTvccmw76,1.0,10.0,1,0.3,M1 Kivaha,159,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",piP7A67YkU7,2015-08-31T00:00:00Z,1,,11,4,,,1,1,,,LVUTApNA1K6,0.0,0.0,1,0.9,M1 MARIA,254,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",7NvFkzHDPpA,2014-08-12T00:00:00Z,1,,11,4,,,3,1,,,KaQBsVnzd8B,0.0,0.0,1,5.5,M1-ngowo,676,1.0
M2,Bondeni 1,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",MLdLHWK2Qr,2014-12-18T00:00:00Z,1,,31,4,,,0,1,,,WNqFSy56fY2,0.8,7.0,1,0.5,M2-lusulupia,1980,1.0
M1,Nyumbani,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",5oGmpb8QJLA,2015-09-09T00:00:00Z,1,,21,4,,,2,1,,,dvUsi2k2hN3,0.0,0.0,1,1.8,SEIF,607,1.0
M2,Juu,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",i2ZRSY65p48,2015-08-10T00:00:00Z,1,,12,4,,,0,1,,,uMhMiCH2Nn,1.3,30.0,1,0.6,M2 HAROUB,253,1.0
M1,Shamba la Nyumbani,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HGnHsWKAkp3,2014-08-12T00:00:00Z,1,,11,4,,,2,1,,,A93WsRxHL34,0.2,1.0,1,2.4,M1-samora,426,1.0
M1,Ngondotope,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",WEJAJe36mh4,2015-08-10T00:00:00Z,1,,12,4,,,1,1,,,eg6jEepShV7,2.8,50.0,1,1.0,M1 BAKARI,249,1.0
M3,Mgambalenga darajani,TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",6NYkNXf4fW6,2014-08-12T00:00:00Z,1,,11,1,,11,2,1,,,d6myPmSy8K7,3.5,2.0,2,2.6,Darajani,541,1.0
M1,Ngangadupa,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",1AHvfwxYcT6,2014-10-03T00:00:00Z,1,,12,4,,,5,1,,,qyyTUreKitA,3.0,60.0,1,6.1,M1-moses,1070,1.0
