"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Season","Crop.ID","Crop.name","ag5a_01","ag5a_02_1","ag5a_02_2","ag5a_03","ag5a_12_1","ag5a_20","ag5a_21","ag5a_21_other","ag5a_22","ag5a_24","ag5a_24_other","ag5a_25","ag5a_26"
"75","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QFh29fHsCvA","2015-04-28T00:00:00Z","long_rainy","44","Palm Oil",1,2000,NA,8000,"2013-09-01",2,"","",NA,"2","",NA,NA
"76","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","C7yu9JZpZ96","2014-09-28T00:00:00Z","long_rainy","31","Beans",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"77","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","eze6AQDVxQ4","2014-08-27T00:00:00Z","long_rainy","44","Palm Oil",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"78","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AZbZLMWXXU5","2014-09-03T00:00:00Z","short_rainy","56","",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"79","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","UUj4sWMqYC3","2014-12-29T00:00:00Z","long_rainy","24","Yams",1,870,NA,360,"2013-12-01",2,"","",NA,"2","",NA,NA
"80","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","go6Ch5Km3k7","2014-12-16T00:00:00Z","long_rainy","43","Groundnut",1,2000,NA,1600,"2014-03-01",2,"","",NA,"2","",NA,NA
"81","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","bvFDUPT6cv8","2014-09-27T00:00:00Z","short_rainy","24","",1,2500,NA,3500,"2013-12-01",2,"","",NA,"2","",NA,NA
"82","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","nMZQwMPqKU4","2015-03-28T00:00:00Z","short_rainy","44","",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest Palm oil",NA,NA
"83","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","ydHcUTHKzD7","2014-09-10T00:00:00Z","long_rainy","21","Cassava",2,NA,NA,NA,"",2,"","",NA,"1","",NA,NA
"84","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","HYK4pqongQ7","2014-09-19T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"85","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","short_rainy","56","",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
