Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop type,Field ID,Field name,Crop ID,Crop name,ag6a_02,ag6a_05,ag6a_08_1,ag6a_08_2,ag6a_vs_09
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",Tt5k1X1aefA,2016-07-15T00:00:00Z,fruit,M2,IRISH,71c,Banana Sweet,80,1,480.0,1,38400.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",1m6QKguDbp4,2016-07-14T00:00:00Z,fruit,M1,BEANS,71a,Banana Food,24,1,0.0,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",LZ29vrnear2,2016-04-23T00:00:00Z,fruit,M1,MAIZE,74,Papaw,6,1,0.0,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",JYjBoTCdte4,2015-10-14T00:00:00Z,fruit,M3,BANANA,71b,Banana Beer,40,2,800.0,1,32000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",1aHi48GS6A5,2016-07-01T00:00:00Z,fruit,M1,MAIZE,73,Mango,1,1,200.0,1,2000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",QLDaeeq1A6A,2015-11-06T00:00:00Z,fruit,M1,TOMATOE,72,Avocado,2,1,250.0,1,50000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",fHLhUbHi259,2016-04-27T00:00:00Z,permanent,M2,PYRETHRUM,304,Timber,1,1,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",voQqwNL5SR4,2016-03-03T00:00:00Z,fruit,M4,FRUIT,72,Avocado,1,2,20.0,1,20000.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",iRtxUHTRGi2,2016-01-22T00:00:00Z,fruit,M1,MAIZE,72,Avocado,1,1,72.0,1,14400.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",JM2DWViH8L8,2016-01-29T00:00:00Z,fruit,M1,MAIZE,71c,Banana Sweet,1,1,0.0,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",rQmTKtJ2h92,2016-07-23T00:00:00Z,fruit,M1,BEANS,73,Mango,1,1,0.0,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",GBGa6M3rbd3,2016-11-18T00:00:00Z,permanent,M3,TEA,55,Tea,600,2,280.0,1,29400.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",2AzeKX3Xdj9,2015-12-11T00:00:00Z,permanent,M4,SWEET POTATOE,21,Cassava,300,1,360.0,1,36000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",d77n4FzyP99,2016-04-26T00:00:00Z,fruit,M2,FRUIT,70,Passion Fruit,2,1,0.0,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",jT3NCQFGuW8,2016-02-08T00:00:00Z,fruit,M1,BEANS,71a,Banana Food,6,1,0.0,1,0.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",NpBRQomLNX3,2015-11-09T00:00:00Z,fruit,M1,BEANS,852,Lemon,1,1,0.0,,
