"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Livestock.code","Animal.name","ag10a_05_1","ag10a_05_2","ag10a_05_3","ag10a_19","ag10a_20","ag10a_21","ag10a_24","ag10a_25","ag10a_26","ag10a_27","ag10a_33","ag10a_34","ag10a_vs_01","ag10a_vs_02","ag10a_vs_03","ag10a_vs_04"
"35","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","qy7poFPTo22","2015-02-12T00:00:00Z","8","SHEEP",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","n3hCRp3nTfB","2015-03-10T00:00:00Z","14","DONKEYS",1,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"37","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","v5AnXEEYcG3","2014-09-03T00:00:00Z","10","CHICKENS",10,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"38","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z","7","GOATS",16,NA,NA,2,NA,NA,1,5,0,NA,2,NA,NA,NA,NA,NA
"39","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","R24vZdb6HQ7","2014-09-07T00:00:00Z","10","CHICKENS",2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"40","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z","1","BULLS",2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"41","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","jR5EnTkAqM3","2015-02-09T00:00:00Z","8","SHEEP",8,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"42","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","pKpxx6da5u6","2014-08-28T00:00:00Z","10","CHICKENS",30,0,NA,2,NA,NA,1,5,0,NA,2,NA,NA,NA,NA,NA
"43","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","5rf37agRoT5","2014-08-29T00:00:00Z","10","CHICKENS",20,NA,NA,2,NA,NA,1,2,0,NA,2,NA,NA,NA,NA,NA
"44","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","Ny58V5eghz7","2014-12-29T00:00:00Z","2","COWS",3,NA,NA,2,NA,NA,2,NA,NA,NA,1,60,NA,NA,NA,NA
