"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Season","Crop.ID","Crop.name","ag4a_01","ag4a_02","ag4a_04","ag4a_05","ag4a_05_other","ag4a_vs_5a","ag4a_vs_5a_day","ag4a_vs_5a_month","ag4a_vs_5a_year","ag4a_06","ag4a_08","ag4a_15","ag4a_15_unit","ag4a_16","ag4a_19","ag4a_21","ag4a_23"
"33","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","pdf1PrAkhV","2015-05-15T00:00:00Z","M1","short_rainy","45","Coconut",NA,NA,NA,"","","2015-05-15",15,5,2015,1,12,1500,NA,525,2,NA,NA
"34","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","eaQik5x8C35","2014-09-27T00:00:00Z","M1","short_rainy","24","Yams",1,NA,2,"","","2013-02-27",27,2,2013,1,6,1200,NA,2100,2,NA,NA
"35","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z","M1","short_rainy","24","Yams",NA,NA,NA,"","","",NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
"36","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","ZgVCya2zX73","2015-02-19T00:00:00Z","M6","long_rainy","31","Beans",1,NA,2,"","","2013-09-19",19,9,2013,1,1,140,NA,400,2,NA,NA
"37","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","M2","short_rainy","45","Coconut",1,NA,2,"","","2000-05-29",29,5,2000,1,14.4,3400,NA,476,2,NA,NA
"38","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z","M2","long_rainy","56","Cocoa",1,NA,2,"","","2000-03-30",30,3,2000,2,NA,NA,NA,NA,2,NA,NA
"39","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","C7yu9JZpZ96","2014-09-28T00:00:00Z","M2","long_rainy","11","Maize",1,NA,2,"","","2013-04-28",28,4,2013,1,3,600,NA,280,1,50,2
"40","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z","M3","short_rainy","57","Rubber",1,NA,2,"","","2013-06-27",27,6,2013,2,NA,NA,NA,NA,2,NA,NA
"41","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-15T00:00:00Z","M1","short_rainy","21","Cassava",2,2,1,"","","2012-11-15",15,11,2012,2,NA,NA,NA,NA,NA,NA,NA
"42","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M1","long_rainy","12","Paddy",1,NA,2,"","","2013-03-29",29,3,2013,1,6,1500,NA,1750,2,NA,NA
"43","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wbguRJt7c17","2014-09-02T00:00:00Z","M2","short_rainy","76","Orange",1,NA,2,"","","2003-04-02",2,4,2003,1,2,500,NA,50,2,NA,NA
"44","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wbguRJt7c17","2014-09-02T00:00:00Z","M3","short_rainy","56","Cocoa",1,NA,2,"","","2001-05-02",2,5,2001,1,3,300,NA,636,2,NA,NA
"45","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1P6K2wcxu7","2015-05-15T00:00:00Z","M3","long_rainy","21","Cassava",2,2,1,"1","","2012-05-15",15,5,2012,1,1,240,NA,160,2,NA,NA
"46","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","eYyzj3xgGn8","2014-09-08T00:00:00Z","M1","short_rainy","21","Cassava",1,NA,2,"","","2013-11-08",8,11,2013,2,NA,NA,NA,NA,2,NA,NA
"47","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","UmXMMFYwnL4","2014-09-28T00:00:00Z","M4","long_rainy","100","Okra",1,NA,2,"","","2013-03-02",2,3,2013,1,2,20,NA,800,1,100,1
