Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop type,Field ID,Field name,Crop ID,Crop name,ag6a_02,ag6a_05,ag6a_08_1,ag6a_08_2,ag6a_vs_09
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mZbBzdZE8P5,2014-10-07T00:00:00Z,fruit,M2,Ibumila 2,12,Paddy,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",XaYWTVN67N4,2014-12-28T00:00:00Z,fruit,M2,Getini,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2015-01-14T00:00:00Z,permanent,M2,Lyangadupa,12,Paddy,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",fMF9APviXm9,2015-08-11T00:00:00Z,fruit,M1,Mdamanyafu,71c,Banana Sweet,10,1,45.0,1,27000.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",hfEUg9n1AW4,2014-12-28T00:00:00Z,permanent,M1,Kawelela,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",aFuKnt435e8,2014-08-12T00:00:00Z,fruit,M2,Mitemikwila,12,Paddy,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",XaYWTVN67N4,2014-12-28T00:00:00Z,permanent,M4,Karibu na hifadhi,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",MqCGGaKzuz2,2014-08-11T00:00:00Z,fruit,M1,Shamba la Nyumbani,12,Paddy,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RTnL3zMj6T,2015-08-10T00:00:00Z,fruit,M1,Nyumbani,852,Lemon,1,1,200.0,1,20000.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2015-01-14T00:00:00Z,fruit,M1,Nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",yLS96zjnvX6,2014-12-18T00:00:00Z,permanent,M4,Nyumbani 4,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HWkzcSXQNG2,2014-08-12T00:00:00Z,fruit,M1,Nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZRuCufE5rt9,2014-08-12T00:00:00Z,fruit,M1,Shamba la nyumbani,73,Mango,37,1,100.0,,50000.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",onVKoJG2AfA,2014-12-27T00:00:00Z,fruit,M1,Korongoni,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",mWbvKsGPM14,2014-08-12T00:00:00Z,fruit,M1,Shamba la nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",Qapm2uWHFt5,2015-09-09T00:00:00Z,fruit,M2,Nyumbani,76,Orange,10,1,1000.0,1,100000.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",aFuKnt435e8,2014-08-12T00:00:00Z,fruit,M4,Shamba la karibu,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Rmvq4s33Ev8,2014-08-12T00:00:00Z,permanent,M1,Shamba la nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mdqRMX9AQF6,2014-09-24T00:00:00Z,fruit,M1,Nyaluanga 'A',12,Paddy,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",7NvFkzHDPpA,2014-08-12T00:00:00Z,fruit,M1,Nyumbani,852,Lemon,3,1,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",zddQBRJke87,2014-08-11T00:00:00Z,fruit,M2,Shamba la Bondeni,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ZSL3mumZ4X8,2014-08-12T00:00:00Z,fruit,M1,Shamba la Nyumbani 1,71,Banana,30,1,1500.0,,200000.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",aNYTfhJUuk9,2014-08-11T00:00:00Z,permanent,M1,Shamba la siemens,12,Paddy,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",9ES5SSTauT6,2014-08-13T00:00:00Z,permanent,M1,Shamba la nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",gpPmZSQZXY5,2014-08-11T00:00:00Z,permanent,M1,Shamba la Nyumbani,11,Maize,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",9921bP6EeY4,2014-08-12T00:00:00Z,fruit,M1,Shamba la Bondeni,74,Papaw,5,1,0.0,,0.0
