"","Country","Partner.Organization","longitude","latitude","Region","District","Landscape..","Household.ID","Household.head.ID","Enumerator.ID","Time.interview.start","Date.of.interview","Supervisor.ID","Questionnaire.inspection.date","Clerk.ID","Data.entry.date","fr_01","fr2_10","fr_5","ag12b_vs_09a","ag12a_vs_10","ag12a_vs_10_other","End.Time","Survey.Instrument"
"30","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","BwcbgH6pxh9","88QrLBnzFfA",NA,NA,NA,"kNZW9z5PqgB","2014-09-13","","2014-09-13T00:00:00Z",1,2,"1410625397403.jpg",1,"other","Rural Bank",NA,NA
"31","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","9avkr7kTx68","3Ski58Zsvc5",NA,NA,NA,"b1NCZnXapeA","2015-03-14","intxmu8iSK4","2015-03-14T00:00:00Z",1,1,"1432820112772.jpg",1,"1","",NA,NA
"32","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","4DD1mGbS2b6","n8NqgPc8TW8",NA,NA,NA,"GiqrBSUhcd2","2015-05-15","jPsrT9HYaWB","2015-05-15T00:00:00Z",1,2,"1431688026029.jpg",2,"","",NA,NA
"33","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","ZsXLTqgEPA2","CrqxuvRSG12",NA,NA,NA,"GiqrBSUhcd2","2015-04-27","jPsrT9HYaWB","2015-04-27T00:00:00Z",1,2,"",2,"","",NA,NA
"34","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","MFMymqGXjf8","r3pZWgmJvs",NA,NA,NA,"GLjkaGjMaf6","2014-12-16","Nv3qBdibWD5","2014-12-16T00:00:00Z",1,2,"1418735640505.jpg",1,"other","Bubgu",NA,NA
"35","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","PXb5NT8y8n6","MRme9V1Z9P3",NA,NA,NA,"d12YSFUD4x8","2015-02-18","jPsrT9HYaWB","2015-02-18T00:00:00Z",1,NA,"1425470227250.jpg",2,"","",NA,NA
"36","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","XEA6aofdZo5","iNhd7sBLtW4",NA,NA,NA,"b1NCZnXapeA","2015-03-29","intxmu8iSK4","2015-03-29T00:00:00Z",1,2,"1432893002049.jpg",1,"other","Ghana commercial bank",NA,NA
"37","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","5G241XCT6VA","HPu1SmrS8qA",NA,NA,NA,"kNZW9z5PqgB","2014-10-02","intxmu8iSK4","2014-10-02T00:00:00Z",1,2,"",2,"","",NA,NA
"38","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","wGsPM221dM8","Xo2KptC6kV",NA,NA,NA,"b1NCZnXapeA","2015-03-29","intxmu8iSK4","2015-03-29T00:00:00Z",1,2,"1432819506421.jpg",2,"","",NA,NA
"39","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","hrKn2nuXSs9","kVREjdF3H84",NA,NA,NA,"kNZW9z5PqgB","2014-09-10","QwBungHb3H3","2014-09-10T00:00:00Z",1,2,"",1,"5","",NA,NA
